Pokemon_1,Type_1,Type_number_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2,Type_2,Type_number_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner,Index,N_Pokemon_1,N_Pokemon_2
Ninetales,Fire,2,73,76,75,100,324,Mew,Psychic,14,100,100,100,100,324,1,14443,38,151
Alolan Ninetales,Ice,10,73,67,75,109,324,Mewtwo,Psychic,14,106,110,90,130,369,1,14444,38,150
Jigglypuff,Normal,5,115,45,20,20,200,Mime Jr.,Psychic,14,20,25,45,60,105,0,14445,39,439
Wigglytuff,Normal,5,140,70,45,45,300,Mr. Mime,Psychic,14,40,45,65,90,170,0,14446,40,122
Zubat,Poison,7,40,45,35,55,175,Mr. Rime,Psychic,14,80,85,75,70,265,1,14447,41,866
Golbat,Poison,7,75,80,70,90,315,Munna,Psychic,14,76,25,45,24,90,0,14448,42,517
Oddish,Grass,1,45,50,55,30,180,Musharna,Psychic,14,116,55,85,29,235,1,14449,43,518
Gloom,Grass,1,60,65,70,40,235,Natu,Psychic,14,40,50,45,70,172.5,0,14450,44,177
Vileplume,Grass,1,75,80,85,50,290,Necrozma,Psychic,14,97,107,101,79,304,1,14451,45,800
Paras,Bug,4,35,70,55,25,185,Oricorio Pa'u Style,Psychic,14,75,70,70,93,238,1,14452,46,741
Parasect,Bug,4,60,95,80,30,265,Ralts,Psychic,14,28,25,25,40,23,0,14453,47,280
Venonat,Bug,4,60,55,50,45,210,Reuniclus,Psychic,14,110,65,75,30,170,0,14454,48,579
Venomoth,Bug,4,70,65,60,90,285,Sigilyph,Psychic,14,72,58,80,97,242,0,14455,49,561
Diglett,Ground,9,10,55,25,95,185,Solgaleo,Psychic,14,137,137,107,97,368,1,14456,50,791
Alolan Diglett,Ground,9,10,55,30,90,185,Solosis,Psychic,14,45,30,40,20,80,0,14457,50,577
Dugtrio,Ground,9,35,100,50,120,305,Spoink,Psychic,14,60,25,35,60,80,0,14458,51,325
Alolan Dugtrio,Ground,9,35,100,60,110,305,Swoobat,Psychic,14,67,57,55,114,293,0,14459,51,528
Meowth,Normal,5,40,45,35,90,210,Tapu Lele,Psychic,14,70,85,75,95,280,1,14460,52,786
Alolan Meowth,Dark,6,40,35,35,90,200,Ultra Necrozma,Psychic,14,97,167,97,129,420,1,14461,52,800
Galarian Meowth,Steel,12,50,65,55,40,210,Unown,Psychic,14,48,72,48,48,151,0,14462,52,201
Persian,Normal,5,65,70,60,115,310,Uxie,Psychic,14,75,75,130,95,305,0,14463,53,480
Alolan Persian,Dark,6,65,60,60,115,300,Victini,Psychic,14,100,100,100,100,280,0,14464,53,494
Psyduck,Water,3,50,52,48,55,205,Wobbuffet,Psychic,14,190,33,58,33,262,1,14465,54,202
Golduck,Water,3,80,82,78,85,325,Woobat,Psychic,14,65,45,43,72,143,0,14466,55,527
Mankey,Fighting,13,40,80,35,70,225,Wynaut,Psychic,14,95,23,48,23,109,0,14467,56,360
Primeape,Fighting,13,65,105,60,95,325,Xatu,Psychic,14,65,75,70,95,200,0,14468,57,178
Growlithe,Fire,2,55,70,45,60,230,Abra,Psychic,14,25,20,15,90,80,0,14469,58,63
Arcanine,Fire,2,90,110,80,95,375,Alakazam,Psychic,14,55,50,45,120,160,0,14470,59,65
Poliwag,Water,3,40,50,40,90,220,Azelf,Psychic,14,75,125,70,115,335,1,14471,60,482
Poliwhirl,Water,3,65,65,65,90,285,Beheeyem,Psychic,14,75,75,75,40,200,0,14472,61,606
Poliwrath,Water,3,90,95,95,70,350,Celebi,Psychic,14,100,100,100,100,352.5,1,14473,62,251
Abra,Psychic,14,25,20,15,90,150,Chimecho,Psychic,14,75,50,80,65,260,1,14474,63,358
Kadabra,Psychic,14,40,35,30,105,210,Chingling,Psychic,14,45,30,50,45,152.5,0,14475,64,433
Alakazam,Psychic,14,55,50,45,120,270,Cosmoem,Psychic,14,43,29,131,37,215,0,14476,65,790
Mega Alakazam,Psychic,14,55,50,65,150,320,Cosmog,Psychic,14,43,29,31,37,115,0,14477,65,789
Machop,Fighting,13,70,80,50,35,235,Cresselia,Psychic,14,120,70,120,85,315,1,14478,66,488
Machoke,Fighting,13,80,100,70,45,295,Dawn Wings Necrozma,Psychic,14,97,113,109,77,296,1,14479,67,800
Machamp,Fighting,13,90,130,80,55,355,Deoxys Attack Forme,Psychic,14,50,180,20,150,270,0,14480,68,386
Bellsprout,Grass,1,50,75,35,40,200,Deoxys Defense Forme,Psychic,14,50,70,160,90,295,1,14481,69,386
Weepinbell,Grass,1,65,90,50,55,260,Deoxys Normal Forme,Psychic,14,50,150,50,150,310,1,14482,70,386
Victreebel,Grass,1,80,105,65,70,320,Deoxys Speed Forme,Psychic,14,50,95,90,180,310,0,14483,71,386
Tentacool,Water,3,40,40,35,70,185,Drowzee,Psychic,14,60,48,45,42,155,0,14484,72,96
Tentacruel,Water,3,80,70,65,100,315,Duosion,Psychic,14,65,40,50,30,115,0,14485,73,578
Geodude,Rock,15,40,80,100,20,240,Dusk Mane Necrozma,Psychic,14,97,157,127,77,418,1,14486,74,800
Alolan Geodude,Rock,15,40,80,100,20,240,Elgyem,Psychic,14,55,55,55,30,115,0,14487,74,605
Graveler,Rock,15,55,95,115,35,300,Espeon,Psychic,14,65,65,60,110,205,0,14488,75,196
Alolan Graveler,Rock,15,55,95,115,35,300,Espurr,Psychic,14,62,48,54,68,137,0,14489,75,677
Golem,Rock,15,80,120,130,45,375,Galarian Mr. Mime,Psychic,14,50,65,65,100,160,0,14490,76,122
Alolan Golem,Rock,15,80,120,130,45,375,Galarian Ponyta,Psychic,14,50,85,55,90,40,0,14491,76,77
Ponyta,Fire,2,50,85,55,90,280,Galarian Rapidash,Psychic,14,65,100,70,105,340,1,14492,77,78
Galarian Ponyta,Psychic,14,50,85,55,90,280,Gallade,Psychic,14,68,125,65,80,253,0,14493,77,475
Rapidash,Fire,2,65,100,70,105,340,Gardevoir,Psychic,14,68,65,65,80,178,0,14494,78,282
Galarian Rapidash,Psychic,14,65,100,70,105,340,Gothita,Psychic,14,45,30,50,45,120,0,14495,78,574
Slowpoke,Water,3,90,65,65,15,235,Gothitelle,Psychic,14,70,55,95,65,220,0,14496,79,576
Slowbro,Water,3,95,75,110,30,310,Gothorita,Psychic,14,60,45,70,55,155,0,14497,80,575
Mega Slowbro,Water,3,95,75,180,30,380,Grumpig,Psychic,14,80,45,65,80,195,0,14498,80,326
Magnemite,Electric,8,25,35,70,45,175,Hatenna,Psychic,14,42,30,45,39,121,0,14499,81,856
Magneton,Electric,8,50,60,95,70,275,Hatterene,Psychic,14,57,90,95,29,211,0,14500,82,858
Farfetch'd,Normal,5,52,90,55,60,257,Hattrem,Psychic,14,57,40,65,49,121,0,14501,83,857
Galarian Farfetch'd,Fighting,13,52,95,55,55,257,Hoopa Hoopa Confined,Psychic,14,80,110,60,70,225,0,14502,83,720
Doduo,Normal,5,35,85,45,75,240,Hoopa Hoopa Unbound,Psychic,14,80,160,60,80,295,1,14503,84,720
Dodrio,Normal,5,60,110,70,110,350,Hypno,Psychic,14,85,73,70,67,185,0,14504,85,97
Seel,Water,3,65,45,55,45,210,Indeedee Female,Psychic,14,70,55,65,85,230,1,14505,86,876
Dewgong,Water,3,90,70,80,70,310,Indeedee Male,Psychic,14,60,65,55,95,205,0,14506,87,876
Grimer,Poison,7,80,80,50,25,235,Kadabra,Psychic,14,40,35,30,105,130,0,14507,88,64
Alolan Grimer,Poison,7,80,80,50,25,235,Kirlia,Psychic,14,38,35,35,50,-2,0,14508,88,281
Muk,Poison,7,105,105,75,50,335,Lugia,Psychic,14,106,90,130,110,331,0,14509,89,249
Alolan Muk,Poison,7,105,105,75,50,335,Lunala,Psychic,14,137,113,89,97,383.5,1,14510,89,792
Shellder,Water,3,30,65,100,40,235,Mega Alakazam,Psychic,14,55,50,65,150,255,1,14511,90,65
Cloyster,Water,3,50,95,180,70,395,Mega Gallade,Psychic,14,68,165,95,110,343,0,14512,91,475
Gastly,Ghost,16,30,35,30,80,175,Mega Gardevoir,Psychic,14,68,85,65,100,248,1,14513,92,282
Haunter,Ghost,16,45,50,45,95,235,Mega Mewtwo X,Psychic,14,106,190,100,130,426,1,14514,93,150
Gengar,Ghost,16,60,65,60,110,295,Mega Mewtwo Y,Psychic,14,106,150,70,140,336,1,14515,94,150
Mega Gengar,Ghost,16,60,65,80,130,335,Meowstic Female,Psychic,14,74,48,76,104,172,0,14516,94,678
Onix,Rock,15,35,45,160,70,310,Meowstic Male,Psychic,14,74,48,76,104,257,0,14517,95,678
Drowzee,Psychic,14,60,48,45,42,195,Mesprit,Psychic,14,80,105,105,80,346,1,14518,96,481
Hypno,Psychic,14,85,73,70,67,295,Mew,Psychic,14,100,100,100,100,363.5,1,14519,97,151
Krabby,Water,3,30,105,90,50,275,Mewtwo,Psychic,14,106,110,90,130,331,1,14520,98,150
Kingler,Water,3,55,130,115,75,375,Mime Jr.,Psychic,14,20,25,45,60,20,0,14521,99,439
Voltorb,Electric,8,40,30,50,100,220,Mr. Mime,Psychic,14,40,45,65,90,210,0,14522,100,122
Electrode,Electric,8,60,50,70,150,330,Mr. Rime,Psychic,14,80,85,75,70,260,0,14523,101,866
Exeggcute,Grass,1,60,40,80,40,220,Munna,Psychic,14,76,25,45,24,130,0,14524,102,517
Exeggutor,Grass,1,95,95,85,55,330,Musharna,Psychic,14,116,55,85,29,190,0,14525,103,518
Alolan Exeggutor,Grass,1,95,105,85,45,330,Natu,Psychic,14,40,50,45,70,152.5,0,14526,103,177
Cubone,Ground,9,50,50,95,35,230,Necrozma,Psychic,14,97,107,101,79,334,1,14527,104,800
Marowak,Ground,9,60,80,110,45,295,Oricorio Pa'u Style,Psychic,14,75,70,70,93,308,1,14528,105,741
Alolan Marowak,Fire,2,60,80,110,45,295,Ralts,Psychic,14,28,25,25,40,38,0,14529,105,280
Hitmonlee,Fighting,13,50,120,53,87,310,Reuniclus,Psychic,14,110,65,75,30,160,0,14530,106,579
Hitmonchan,Fighting,13,50,105,79,76,310,Sigilyph,Psychic,14,72,58,80,97,202,0,14531,107,561
Lickitung,Normal,5,90,55,75,30,250,Solgaleo,Psychic,14,137,137,107,97,450.5,1,14532,108,791
Koffing,Poison,7,40,65,95,35,235,Solosis,Psychic,14,45,30,40,20,70,0,14533,109,577
Weezing,Poison,7,65,90,120,60,335,Spoink,Psychic,14,60,25,35,60,90,0,14534,110,325
Galarian Weezing,Poison,7,65,90,120,60,335,Swoobat,Psychic,14,67,57,55,114,203,0,14535,110,528
Rhyhorn,Ground,9,80,85,95,25,285,Tapu Lele,Psychic,14,70,85,75,95,240,0,14536,111,786
Rhydon,Ground,9,105,130,120,40,395,Ultra Necrozma,Psychic,14,97,167,97,129,360,0,14537,112,800
Chansey,Normal,5,250,5,5,50,310,Unown,Psychic,14,48,72,48,48,211,0,14538,113,201
Tangela,Grass,1,65,55,115,60,295,Uxie,Psychic,14,75,75,130,95,320,1,14539,114,480
Kangaskhan,Normal,5,105,95,80,90,370,Victini,Psychic,14,100,100,100,100,305,0,14540,115,494
Mega Kangaskhan,Normal,5,105,125,100,100,430,Wobbuffet,Psychic,14,190,33,58,33,189,0,14541,115,202
Horsea,Water,3,30,40,70,60,200,Woobat,Psychic,14,65,45,43,72,185,0,14542,116,527
Seadra,Water,3,55,65,95,85,300,Wynaut,Psychic,14,95,23,48,23,124,0,14543,117,360
Goldeen,Water,3,45,67,60,63,235,Xatu,Psychic,14,65,75,70,95,238,1,14544,118,178
Seaking,Water,3,80,92,65,68,305,Abra,Psychic,14,25,20,15,90,58,0,14545,119,63
Staryu,Water,3,30,45,55,85,215,Alakazam,Psychic,14,55,50,45,120,225,1,14546,120,65
Starmie,Water,3,60,75,85,115,335,Azelf,Psychic,14,75,125,70,115,310,0,14547,121,482
Mr. Mime,Psychic,14,40,45,65,90,240,Beheeyem,Psychic,14,75,75,75,40,242.5,1,14548,122,606
Galarian Mr. Mime,Psychic,14,50,65,65,100,280,Celebi,Psychic,14,100,100,100,100,367.5,1,14549,122,251
Scyther,Bug,4,70,110,80,105,365,Chimecho,Psychic,14,75,50,80,65,50,0,14550,123,358
Jynx,Ice,10,65,50,35,95,245,Chingling,Psychic,14,45,30,50,45,120,0,14551,124,433
Electabuzz,Electric,8,65,83,57,105,310,Cosmoem,Psychic,14,43,29,131,37,157,0,14552,125,790
Magmar,Fire,2,65,95,57,93,310,Cosmog,Psychic,14,43,29,31,37,45,0,14553,126,789
Pinsir,Bug,4,65,125,100,85,375,Cresselia,Psychic,14,120,70,120,85,145,0,14554,127,488
Mega Pinsir,Bug,4,65,155,120,105,445,Dawn Wings Necrozma,Psychic,14,97,113,109,77,241,0,14555,127,800
Tauros,Normal,5,75,100,95,110,380,Deoxys Attack Forme,Psychic,14,50,180,20,150,300,0,14556,128,386
Magikarp,Water,3,20,10,55,80,165,Deoxys Defense Forme,Psychic,14,50,70,160,90,360,1,14557,129,386
Gyarados,Water,3,95,125,79,81,380,Deoxys Normal Forme,Psychic,14,50,150,50,150,275,0,14558,130,386
Mega Gyarados,Water,3,95,155,109,81,440,Deoxys Speed Forme,Psychic,14,50,95,90,180,260,0,14559,130,386
Lapras,Water,3,130,85,80,60,355,Drowzee,Psychic,14,60,48,45,42,110,0,14560,131,96
Ditto,Normal,5,48,48,48,48,192,Duosion,Psychic,14,65,40,50,30,137,0,14561,132,578
Eevee,Normal,5,55,55,50,55,215,Dusk Mane Necrozma,Psychic,14,97,157,127,77,430.5,1,14562,133,800
Partner Eevee,Normal,5,65,75,70,75,285,Elgyem,Psychic,14,55,55,55,30,120,0,14563,133,605
Vaporeon,Water,3,130,65,60,65,320,Espeon,Psychic,14,65,65,60,110,235,0,14564,134,196
Jolteon,Electric,8,65,65,60,130,320,Espurr,Psychic,14,62,48,54,68,167,0,14565,135,677
Flareon,Fire,2,65,130,60,65,320,Galarian Mr. Mime,Psychic,14,50,65,65,100,150,0,14566,136,122
Porygon,Normal,5,65,60,70,40,235,Galarian Ponyta,Psychic,14,50,85,55,90,220,0,14567,137,77
Omanyte,Rock,15,35,40,100,35,210,Galarian Rapidash,Psychic,14,65,100,70,105,260,1,14568,138,78
Omastar,Rock,15,70,60,125,55,310,Gallade,Psychic,14,68,125,65,80,308,0,14569,139,475
Kabuto,Rock,15,30,80,90,55,255,Gardevoir,Psychic,14,68,65,65,80,198,0,14570,140,282
Kabutops,Rock,15,60,115,105,80,360,Gothita,Psychic,14,45,30,50,45,55,0,14571,141,574
Aerodactyl,Rock,15,80,105,65,130,380,Gothitelle,Psychic,14,70,55,95,65,180,0,14572,142,576
Mega Aerodactyl,Rock,15,80,135,85,150,450,Gothorita,Psychic,14,60,45,70,55,95,0,14573,142,575
Snorlax,Normal,5,160,110,65,30,365,Grumpig,Psychic,14,80,45,65,80,160,0,14574,143,326
Articuno,Ice,10,90,85,100,85,360,Hatenna,Psychic,14,42,30,45,39,71,0,14575,144,856
Zapdos,Electric,8,90,90,85,100,365,Hatterene,Psychic,14,57,90,95,29,181,0,14576,145,858
Moltres,Fire,2,90,100,90,90,370,Hattrem,Psychic,14,57,40,65,49,111,0,14577,146,857
Dratini,Dragon,17,41,64,45,50,200,Hoopa Hoopa Confined,Psychic,14,80,110,60,70,256,1,14578,147,720
Dragonair,Dragon,17,61,84,65,70,280,Hoopa Hoopa Unbound,Psychic,14,80,160,60,80,296,1,14579,148,720
Dragonite,Dragon,17,91,134,95,80,400,Hypno,Psychic,14,85,73,70,67,161,0,14580,149,97
Mewtwo,Psychic,14,106,110,90,130,436,Indeedee Female,Psychic,14,70,55,65,85,220,0,14581,150,876
Mega Mewtwo X,Psychic,14,106,190,100,130,526,Indeedee Male,Psychic,14,60,65,55,95,180,0,14582,150,876
Mega Mewtwo Y,Psychic,14,106,150,70,140,466,Kadabra,Psychic,14,40,35,30,105,135,0,14583,150,64
Mew,Psychic,14,100,100,100,100,400,Kirlia,Psychic,14,38,35,35,50,108,0,14584,151,281
Chikorita,Grass,1,45,49,65,45,204,Lugia,Psychic,14,106,90,130,110,411.5,1,14585,152,249
Bayleef,Grass,1,60,62,80,60,262,Lunala,Psychic,14,137,113,89,97,374,1,14586,153,792
Meganium,Grass,1,80,82,100,80,342,Mega Alakazam,Psychic,14,55,50,65,150,238,0,14587,154,65
Cyndaquil,Fire,2,39,52,43,65,199,Mega Gallade,Psychic,14,68,165,95,110,386,1,14588,155,475
Quilava,Fire,2,58,64,58,80,260,Mega Gardevoir,Psychic,14,68,85,65,100,254,0,14589,156,282
Typhlosion,Fire,2,78,84,78,100,340,Mega Mewtwo X,Psychic,14,106,190,100,130,442,1,14590,157,150
Totodile,Water,3,50,65,64,43,222,Mega Mewtwo Y,Psychic,14,106,150,70,140,401,1,14591,158,150
Croconaw,Water,3,65,80,80,58,283,Meowstic Female,Psychic,14,74,48,76,104,222,0,14592,159,678
Feraligatr,Water,3,85,105,100,78,368,Meowstic Male,Psychic,14,74,48,76,104,197,0,14593,160,678
Sentret,Normal,5,35,46,34,20,135,Mesprit,Psychic,14,80,105,105,80,324,1,14594,161,481
Furret,Normal,5,85,76,64,90,315,Mew,Psychic,14,100,100,100,100,324,1,14595,162,151
Hoothoot,Normal,5,60,30,30,50,170,Mewtwo,Psychic,14,106,110,90,130,406,1,14596,163,150
Noctowl,Normal,5,100,50,50,70,270,Mime Jr.,Psychic,14,20,25,45,60,100,0,14597,164,439
Ledyba,Bug,4,40,20,30,55,145,Mr. Mime,Psychic,14,40,45,65,90,220,1,14598,165,122
Ledian,Bug,4,55,35,50,85,225,Mr. Rime,Psychic,14,80,85,75,70,240,1,14599,166,866
Spinarak,Bug,4,40,60,40,30,170,Munna,Psychic,14,76,25,45,24,50,0,14600,167,517
Ariados,Bug,4,70,90,70,40,270,Musharna,Psychic,14,116,55,85,29,105,0,14601,168,518
Crobat,Poison,7,85,90,80,130,385,Natu,Psychic,14,40,50,45,70,115,0,14602,169,177
Chinchou,Water,3,75,38,38,67,218,Necrozma,Psychic,14,97,107,101,79,346,1,14603,170,800
Lanturn,Water,3,125,58,58,67,308,Oricorio Pa'u Style,Psychic,14,75,70,70,93,250,0,14604,171,741
Pichu,Electric,8,20,40,15,60,135,Ralts,Psychic,14,28,25,25,40,78,0,14605,172,280
Cleffa,Fairy,11,50,25,28,15,118,Reuniclus,Psychic,14,110,65,75,30,255,1,14606,173,579
Igglybuff,Normal,5,90,30,15,15,150,Sigilyph,Psychic,14,72,58,80,97,277,1,14607,174,561
Togepi,Fairy,11,35,20,65,20,140,Solgaleo,Psychic,14,137,137,107,97,468,1,14608,175,791
Togetic,Fairy,11,55,40,85,40,220,Solosis,Psychic,14,45,30,40,20,95,0,14609,176,577
Natu,Psychic,14,40,50,45,70,205,Spoink,Psychic,14,60,25,35,60,155,0,14610,177,325
Xatu,Psychic,14,65,75,70,95,305,Swoobat,Psychic,14,67,57,55,114,255.5,0,14611,178,528
Mareep,Electric,8,55,40,40,35,170,Tapu Lele,Psychic,14,70,85,75,95,285,1,14612,179,786
Flaaffy,Electric,8,70,55,55,45,225,Ultra Necrozma,Psychic,14,97,167,97,129,462.5,1,14613,180,800
Ampharos,Electric,8,90,75,85,55,305,Unown,Psychic,14,48,72,48,48,141,0,14614,181,201
Mega Ampharos,Electric,8,90,95,105,45,335,Uxie,Psychic,14,75,75,130,95,280,0,14615,181,480
Bellossom,Grass,1,75,80,95,50,300,Victini,Psychic,14,100,100,100,100,360,1,14616,182,494
Marill,Water,3,70,20,50,40,180,Wobbuffet,Psychic,14,190,33,58,33,294,1,14617,183,202
Azumarill,Water,3,100,50,80,50,280,Woobat,Psychic,14,65,45,43,72,175,0,14618,184,527
Sudowoodo,Rock,15,70,100,115,30,315,Wynaut,Psychic,14,95,23,48,23,89,0,14619,185,360
Politoed,Water,3,90,75,75,70,310,Xatu,Psychic,14,65,75,70,95,230,0,14620,186,178
Hoppip,Grass,1,35,35,40,50,160,Abra,Psychic,14,25,20,15,90,115,0,14621,187,63
Skiploom,Grass,1,55,45,50,80,230,Alakazam,Psychic,14,55,50,45,120,225,0,14622,188,65
Jumpluff,Grass,1,75,55,70,110,310,Azelf,Psychic,14,75,125,70,115,330,1,14623,189,482
Aipom,Normal,5,55,70,55,85,265,Beheeyem,Psychic,14,75,75,75,40,195,0,14624,190,606
Sunkern,Grass,1,30,30,30,30,120,Celebi,Psychic,14,100,100,100,100,385,1,14625,191,251
Sunflora,Grass,1,75,75,55,30,235,Chimecho,Psychic,14,75,50,80,65,195,0,14626,192,358
Yanma,Bug,4,65,65,45,95,270,Chingling,Psychic,14,45,30,50,45,40,0,14627,193,433
Wooper,Water,3,55,45,45,15,160,Cosmoem,Psychic,14,43,29,131,37,195,1,14628,194,790
Quagsire,Water,3,95,85,85,35,300,Cosmog,Psychic,14,43,29,31,37,55,0,14629,195,789
Espeon,Psychic,14,65,65,60,110,300,Cresselia,Psychic,14,120,70,120,85,362.5,1,14630,196,488
Umbreon,Dark,6,95,65,110,65,335,Dawn Wings Necrozma,Psychic,14,97,113,109,77,201,0,14631,197,800
Murkrow,Dark,6,60,85,42,91,278,Deoxys Attack Forme,Psychic,14,50,180,20,150,230,0,14632,198,386
Slowking,Water,3,95,75,80,30,280,Deoxys Defense Forme,Psychic,14,50,70,160,90,295,1,14633,199,386
Misdreavus,Ghost,16,60,60,60,85,265,Deoxys Normal Forme,Psychic,14,50,150,50,150,280,1,14634,200,386
Unown,Psychic,14,48,72,48,48,216,Deoxys Speed Forme,Psychic,14,50,95,90,180,379,1,14635,201,386
Wobbuffet,Psychic,14,190,33,58,33,314,Drowzee,Psychic,14,60,48,45,42,178.5,0,14636,202,96
Girafarig,Normal,5,70,80,65,85,300,Duosion,Psychic,14,65,40,50,30,105,0,14637,203,578
Pineco,Bug,4,50,65,90,15,220,Dusk Mane Necrozma,Psychic,14,97,157,127,77,393,1,14638,204,800
Forretress,Bug,4,75,90,140,40,345,Elgyem,Psychic,14,55,55,55,30,15,0,14639,205,605
Dunsparce,Normal,5,100,70,70,45,285,Espeon,Psychic,14,65,65,60,110,230,0,14640,206,196
Gligar,Ground,9,65,75,105,85,330,Espurr,Psychic,14,62,48,54,68,157,0,14641,207,677
Steelix,Steel,12,75,85,200,30,390,Galarian Mr. Mime,Psychic,14,50,65,65,100,152.5,0,14642,208,122
Mega Steelix,Steel,12,75,125,230,30,460,Galarian Ponyta,Psychic,14,50,85,55,90,217.5,0,14643,208,77
Snubbull,Fairy,11,60,80,50,30,220,Galarian Rapidash,Psychic,14,65,100,70,105,300,1,14644,209,78
Granbull,Fairy,11,90,120,75,45,330,Gallade,Psychic,14,68,125,65,80,98,0,14645,210,475
Qwilfish,Water,3,65,95,85,85,330,Gardevoir,Psychic,14,68,65,65,80,183,0,14646,211,282
Scizor,Bug,4,70,130,100,65,365,Gothita,Psychic,14,45,30,50,45,-90,0,14647,212,574
Mega Scizor,Bug,4,70,150,140,75,435,Gothitelle,Psychic,14,70,55,95,65,-15,0,14648,212,576
Shuckle,Bug,4,20,10,230,5,265,Gothorita,Psychic,14,60,45,70,55,210,0,14649,213,575
Heracross,Bug,4,80,125,75,85,365,Grumpig,Psychic,14,80,45,65,80,20,0,14650,214,326
Mega Heracross,Bug,4,80,185,115,75,455,Hatenna,Psychic,14,42,30,45,39,-214,0,14651,214,856
Sneasel,Dark,6,55,95,55,115,320,Hatterene,Psychic,14,57,90,95,29,176,0,14652,215,858
Teddiursa,Normal,5,60,80,50,40,230,Hattrem,Psychic,14,57,40,65,49,131,0,14653,216,857
Ursaring,Normal,5,90,130,75,55,350,Hoopa Hoopa Confined,Psychic,14,80,110,60,70,320,0,14654,217,720
Slugma,Fire,2,40,40,40,20,140,Hoopa Hoopa Unbound,Psychic,14,80,160,60,80,340,1,14655,218,720
Magcargo,Fire,2,60,50,120,30,260,Hypno,Psychic,14,85,73,70,67,245,0,14656,219,97
Swinub,Ice,10,50,50,40,50,190,Indeedee Female,Psychic,14,70,55,65,85,225,1,14657,220,876
Piloswine,Ice,10,100,100,80,50,330,Indeedee Male,Psychic,14,60,65,55,95,175,0,14658,221,876
Corsola,Water,3,65,55,95,35,250,Kadabra,Psychic,14,40,35,30,105,155,0,14659,222,64
Galarian Corsola,Ghost,16,60,55,100,30,245,Kirlia,Psychic,14,38,35,35,50,48,0,14660,222,281
Remoraid,Water,3,35,65,35,65,200,Lugia,Psychic,14,106,90,130,110,371,1,14661,223,249
Octillery,Water,3,75,105,75,45,300,Lunala,Psychic,14,137,113,89,97,331,1,14662,224,792
Delibird,Ice,10,45,55,45,75,220,Mega Alakazam,Psychic,14,55,50,65,150,265,1,14663,225,65
Mantine,Water,3,85,40,70,70,265,Mega Gallade,Psychic,14,68,165,95,110,398,1,14664,226,475
Skarmory,Steel,12,65,80,140,70,355,Mega Gardevoir,Psychic,14,68,85,65,100,158,0,14665,227,282
Houndour,Dark,6,45,60,30,65,200,Mega Mewtwo X,Psychic,14,106,190,100,130,466,1,14666,228,150
Houndoom,Dark,6,75,90,50,95,310,Mega Mewtwo Y,Psychic,14,106,150,70,140,286,0,14667,229,150
Mega Houndoom,Dark,6,75,90,90,115,370,Meowstic Female,Psychic,14,74,48,76,104,122,0,14668,229,678
Kingdra,Water,3,75,95,95,85,350,Meowstic Male,Psychic,14,74,48,76,104,207,0,14669,230,678
Phanpy,Ground,9,90,60,60,40,250,Mesprit,Psychic,14,80,105,105,80,370,1,14670,231,481
Donphan,Ground,9,90,120,120,50,380,Mew,Psychic,14,100,100,100,100,280,0,14671,232,151
Porygon2,Normal,5,85,80,90,60,315,Mewtwo,Psychic,14,106,110,90,130,356,1,14672,233,150
Stantler,Normal,5,73,95,62,85,315,Mime Jr.,Psychic,14,20,25,45,60,55,0,14673,234,439
Smeargle,Normal,5,55,20,35,75,185,Mr. Mime,Psychic,14,40,45,65,90,220,1,14674,235,122
Tyrogue,Fighting,13,35,35,35,35,140,Mr. Rime,Psychic,14,80,85,75,70,275,1,14675,236,866
Hitmontop,Fighting,13,50,95,95,70,310,Munna,Psychic,14,76,25,45,24,75,0,14676,237,517
Smoochum,Ice,10,45,30,15,65,155,Musharna,Psychic,14,116,55,85,29,255,1,14677,238,518
Elekid,Electric,8,45,63,37,95,240,Natu,Psychic,14,40,50,45,70,79,0,14678,239,177
Magby,Fire,2,45,75,37,83,240,Necrozma,Psychic,14,97,107,101,79,309,1,14679,240,800
Miltank,Normal,5,95,80,105,100,380,Oricorio Pa'u Style,Psychic,14,75,70,70,93,228,0,14680,241,741
Blissey,Normal,5,255,10,10,55,330,Ralts,Psychic,14,28,25,25,40,108,0,14681,242,280
Raikou,Electric,8,90,85,75,115,365,Reuniclus,Psychic,14,110,65,75,30,195,0,14682,243,579
Entei,Fire,2,115,115,85,100,415,Sigilyph,Psychic,14,72,58,80,97,192,0,14683,244,561
Suicune,Water,3,100,75,115,85,375,Solgaleo,Psychic,14,137,137,107,97,403,1,14684,245,791
Larvitar,Rock,15,50,64,50,41,205,Solosis,Psychic,14,45,30,40,20,71,0,14685,246,577
Pupitar,Rock,15,70,84,70,51,275,Spoink,Psychic,14,60,25,35,60,96,0,14686,247,325
Tyranitar,Rock,15,100,134,110,61,405,Swoobat,Psychic,14,67,57,55,114,25,0,14687,248,528
Mega Tyranitar,Rock,15,100,164,150,71,485,Tapu Lele,Psychic,14,70,85,75,95,161,0,14688,248,786
Lugia,Psychic,14,106,90,130,110,436,Ultra Necrozma,Psychic,14,97,167,97,129,445,1,14689,249,800
Ho-oh,Fire,2,106,130,90,90,416,Unown,Psychic,14,48,72,48,48,86,0,14690,250,201
Celebi,Psychic,14,100,100,100,100,400,Uxie,Psychic,14,75,75,130,95,325,0,14691,251,480
